N 	 time 
6005 	0.000320 
6015 	0.000391 
6025 	0.000316 
6035 	0.000317 
6045 	0.000392 
6055 	0.000318 
6065 	0.000318 
6075 	0.000394 
6085 	0.000319 
6095 	0.000321 
6105 	0.000396 
6115 	0.000332 
6125 	0.000398 
6135 	0.000321 
6145 	0.000323 
6155 	0.000399 
6165 	0.000324 
6175 	0.000325 
6185 	0.000400 
6195 	0.000327 
6205 	0.000326 
6215 	0.000401 
6225 	0.000327 
6235 	0.000335 
6245 	0.000403 
6255 	0.000329 
6265 	0.000334 
6275 	0.000404 
6285 	0.000331 
6295 	0.000331 
6305 	0.000332 
6315 	0.000332 
6325 	0.000334 
6335 	0.000333 
6345 	0.000344 
6355 	0.000334 
6365 	0.000334 
6375 	0.000335 
6385 	0.000336 
6395 	0.000335 
6405 	0.000336 
6415 	0.000338 
6425 	0.000337 
6435 	0.000339 
6445 	0.000340 
6455 	0.000339 
6465 	0.000344 
6475 	0.000341 
6485 	0.000340 
6495 	0.000341 
6505 	0.000342 
6515 	0.000343 
6525 	0.000344 
6535 	0.000344 
6545 	0.000344 
6555 	0.000347 
6565 	0.000345 
6575 	0.000346 
6585 	0.000350 
6595 	0.000421 
6605 	0.000346 
6615 	0.000423 
6625 	0.000350 
6635 	0.000349 
6645 	0.000425 
6655 	0.000350 
6665 	0.000350 
6675 	0.000428 
6685 	0.000361 
6695 	0.000427 
6705 	0.000353 
6715 	0.000352 
6725 	0.000429 
6735 	0.000355 
6745 	0.000429 
6755 	0.000356 
6765 	0.000356 
6775 	0.000430 
6785 	0.000356 
6795 	0.000362 
6805 	0.000432 
6815 	0.000362 
6825 	0.000359 
6835 	0.000432 
6845 	0.000360 
6855 	0.000436 
6865 	0.000361 
6875 	0.000437 
6885 	0.000363 
6895 	0.000367 
6905 	0.000436 
6915 	0.000364 
6925 	0.000403 
6935 	0.000400 
6945 	0.000372 
6955 	0.000433 
6965 	0.000368 
6975 	0.000368 
6985 	0.000442 
6995 	0.000385 
7005 	0.000444 
7015 	0.000368 
7025 	0.000370 
7035 	0.000443 
7045 	0.000371 
7055 	0.000445 
7065 	0.000370 
7075 	0.000371 
7085 	0.000445 
7095 	0.000377 
7105 	0.000450 
7115 	0.000374 
7125 	0.000413 
7135 	0.000412 
7145 	0.000376 
7155 	0.000451 
7165 	0.000375 
7175 	0.000453 
7185 	0.000378 
7195 	0.000382 
7205 	0.000452 
7215 	0.000379 
7225 	0.000454 
7235 	0.000381 
7245 	0.000379 
7255 	0.000459 
7265 	0.000382 
7275 	0.000457 
7285 	0.000394 
7295 	0.000460 
7305 	0.000383 
7315 	0.000387 
7325 	0.000459 
7335 	0.000385 
7345 	0.000460 
7355 	0.000386 
7365 	0.000387 
7375 	0.000464 
7385 	0.000392 
7395 	0.000463 
7405 	0.000390 
7415 	0.000428 
7425 	0.000389 
7435 	0.000390 
7445 	0.000467 
7455 	0.000394 
7465 	0.000467 
7475 	0.000402 
7485 	0.000468 
7495 	0.000396 
7505 	0.000396 
7515 	0.000471 
7525 	0.000394 
7535 	0.000471 
7545 	0.000398 
7555 	0.000400 
7565 	0.000470 
7575 	0.000403 
7585 	0.000474 
7595 	0.000399 
7605 	0.000475 
7615 	0.000400 
7625 	0.000476 
7635 	0.000402 
7645 	0.000403 
7655 	0.000477 
7665 	0.000413 
7675 	0.000478 
7685 	0.000404 
7695 	0.000480 
7705 	0.000406 
7715 	0.000445 
7725 	0.000443 
7735 	0.000408 
7745 	0.000482 
7755 	0.000414 
7765 	0.000484 
7775 	0.000410 
7785 	0.000413 
7795 	0.000483 
7805 	0.000450 
7815 	0.000449 
7825 	0.000412 
7835 	0.000488 
7845 	0.000421 
7855 	0.000488 
7865 	0.000413 
7875 	0.000490 
7885 	0.000414 
7895 	0.000491 
7905 	0.000414 
7915 	0.000417 
7925 	0.000493 
7935 	0.000421 
7945 	0.000491 
7955 	0.000421 
7965 	0.000493 
7975 	0.000421 
7985 	0.000495 
7995 	0.000423 
8005 	0.000425 
8015 	0.000527 
8025 	0.000432 
8035 	0.000502 
8045 	0.000432 
8055 	0.000510 
8065 	0.000427 
8075 	0.000507 
8085 	0.000431 
8095 	0.000504 
8105 	0.000439 
8115 	0.000511 
8125 	0.000437 
8135 	0.000508 
8145 	0.000434 
8155 	0.000509 
8165 	0.000437 
8175 	0.000439 
8185 	0.000520 
8195 	0.000436 
8205 	0.000511 
8215 	0.000443 
8225 	0.000512 
8235 	0.000439 
8245 	0.000516 
8255 	0.000440 
8265 	0.000516 
8275 	0.000447 
8285 	0.000522 
8295 	0.000444 
8305 	0.000520 
8315 	0.000442 
8325 	0.000517 
8335 	0.000443 
8345 	0.000522 
8355 	0.000461 
8365 	0.000524 
8375 	0.000445 
8385 	0.000523 
8395 	0.000449 
8405 	0.000524 
8415 	0.000446 
8425 	0.000451 
8435 	0.000526 
8445 	0.000488 
8455 	0.000488 
8465 	0.000451 
8475 	0.000526 
8485 	0.000452 
8495 	0.000531 
8505 	0.000453 
8515 	0.000537 
8525 	0.000456 
8535 	0.000531 
8545 	0.000454 
8555 	0.000531 
8565 	0.000456 
8575 	0.000533 
8585 	0.000455 
8595 	0.000533 
8605 	0.000464 
8615 	0.000533 
8625 	0.000466 
8635 	0.000536 
8645 	0.000465 
8655 	0.000536 
8665 	0.000462 
8675 	0.000538 
8685 	0.000473 
8695 	0.000537 
8705 	0.000465 
8715 	0.000539 
8725 	0.000465 
8735 	0.000538 
8745 	0.000466 
8755 	0.000545 
8765 	0.000467 
8775 	0.000546 
8785 	0.000468 
8795 	0.000544 
8805 	0.000469 
8815 	0.000549 
8825 	0.000474 
8835 	0.000554 
8845 	0.000474 
8855 	0.000549 
8865 	0.000474 
8875 	0.000549 
8885 	0.000550 
8895 	0.000474 
8905 	0.000475 
8915 	0.000559 
8925 	0.000548 
8935 	0.000475 
8945 	0.000549 
8955 	0.000482 
8965 	0.000556 
8975 	0.000478 
8985 	0.000555 
8995 	0.000489 
9005 	0.000558 
9015 	0.000485 
9025 	0.000556 
9035 	0.000482 
9045 	0.000559 
9055 	0.000485 
9065 	0.000563 
9075 	0.000483 
9085 	0.000563 
9095 	0.000489 
9105 	0.000560 
9115 	0.000562 
9125 	0.000488 
9135 	0.000569 
9145 	0.000499 
9155 	0.000567 
9165 	0.000488 
9175 	0.000564 
9185 	0.000490 
9195 	0.000566 
9205 	0.000495 
9215 	0.000565 
9225 	0.000495 
9235 	0.000572 
9245 	0.000497 
9255 	0.000569 
9265 	0.000569 
9275 	0.000497 
9285 	0.000573 
9295 	0.000505 
9305 	0.000572 
9315 	0.000504 
9325 	0.000573 
9335 	0.000499 
9345 	0.000575 
9355 	0.000499 
9365 	0.000580 
9375 	0.000500 
9385 	0.000578 
9395 	0.000506 
9405 	0.000576 
9415 	0.000578 
9425 	0.000505 
9435 	0.000577 
9445 	0.000515 
9455 	0.000581 
9465 	0.000507 
9475 	0.000579 
9485 	0.000510 
9495 	0.000585 
9505 	0.000583 
9515 	0.000514 
9525 	0.000589 
9535 	0.000510 
9545 	0.000586 
9555 	0.000512 
9565 	0.000587 
9575 	0.000519 
9585 	0.000599 
9595 	0.000590 
9605 	0.000515 
9615 	0.000593 
9625 	0.000516 
9635 	0.000590 
9645 	0.000514 
9655 	0.000597 
9665 	0.000517 
9675 	0.000592 
9685 	0.000596 
9695 	0.000518 
9705 	0.000593 
9715 	0.000521 
9725 	0.000599 
9735 	0.000520 
9745 	0.000597 
9755 	0.000527 
9765 	0.000598 
9775 	0.000597 
9785 	0.000524 
9795 	0.000609 
9805 	0.000526 
9815 	0.000603 
9825 	0.000522 
9835 	0.000599 
9845 	0.000601 
9855 	0.000526 
9865 	0.000609 
9875 	0.000528 
9885 	0.000605 
9895 	0.000573 
9905 	0.000568 
9915 	0.000603 
9925 	0.000533 
9935 	0.000617 
9945 	0.000532 
9955 	0.000608 
9965 	0.000605 
9975 	0.000534 
9985 	0.000611 
9995 	0.000534 
